inv_location_default_id,org_id,item_number,from_subinventory,to_subinventory,intransit_subinventory,intransit_locator,description,locator_id,address_id
,SPG,1276345,RAW-01,RAW-05,RAW-10,RAW-10.C01...,,,
,SPG,1250137,RAW-01,RAW-04,RAW-11,RAW-10.C01...,,,
,SPG,1251401,RAW-01,RAW-04,RAW-12,RAW-10.C01...,,,
,SPG,1251016,RAW-01,RAW-05,RAW-13,RAW-10.C01...,,,
,SPG,1276346,RAW-01,RAW-05,RAW-14,RAW-10.C01...,,,
,SPG,1251017,RAW-01,RAW-05,RAW-15,RAW-10.C01...,,,
,SPG,1276347,RAW-01,RAW-05,RAW-16,RAW-10.C01...,,,
,SPG,1250202,RAW-01,RAW-05,RAW-17,RAW-10.C01...,,,
,SPG,1250188,RAW-01,RAW-05,RAW-18,RAW-10.C01...,,,
,SPG,1250192,RAW-01,RAW-05,RAW-19,RAW-10.C01...,,,
,SPG,1250193,RAW-01,RAW-05,RAW-20,RAW-10.C01...,,,
,SPG,1250190,RAW-01,RAW-05,RAW-21,RAW-10.C01...,,,
,SPG,1250191,RAW-01,RAW-05,RAW-22,RAW-10.C01...,,,
,SPG,1250195,RAW-01,RAW-05,RAW-23,RAW-10.C01...,,,
,SPG,1250200,RAW-01,RAW-05,RAW-24,RAW-10.C01...,,,
,SPG,1264740,RAW-01,RAW-05,RAW-25,RAW-10.C01...,,,
,SPG,1250189,RAW-01,RAW-04,RAW-26,RAW-10.C01...,,,
,SPG,1250199,RAW-01,RAW-04,RAW-27,RAW-10.C01...,,,
,SPG,1250198,RAW-01,RAW-04,RAW-28,RAW-10.C01...,,,
,SPG,1250155,RAW-01,RAW-04,RAW-29,RAW-10.C01...,,,
,SPG,1250119,RAW-01,RAW-04,RAW-30,RAW-10.C01...,,,
,SPG,1250118,RAW-01,RAW-04,RAW-31,RAW-10.C01...,,,
,SPG,1285259,RAW-01,RAW-04,RAW-32,RAW-10.C01...,,,
,SPG,1250124,RAW-01,RAW-04,RAW-33,RAW-10.C01...,,,
,SPG,1250181,RAW-01,RAW-04,RAW-34,RAW-10.C01...,,,
,SPG,1250183,RAW-01,RAW-04,RAW-35,RAW-10.C01...,,,
,SPG,1250186,RAW-01,RAW-05,RAW-36,RAW-10.C01...,,,
,SPG,1275813,RAW-01,RAW-05,RAW-37,RAW-10.C01...,,,
,SPG,1281776,RAW-01,RAW-04,RAW-38,RAW-10.C01...,,,
,SPG,1283780,RAW-01,RAW-04,RAW-39,RAW-10.C01...,,,
,SPG,1250185,RAW-01,RAW-04,RAW-40,RAW-10.C01...,,,
,SPG,1263315,RAW-01,RAW-05,RAW-41,RAW-10.C01...,,,
,SPG,1263314,RAW-01,RAW-05,RAW-42,RAW-10.C01...,,,
,SPG,1250127,RAW-01,RAW-04,RAW-43,RAW-10.C01...,,,
,SPG,1226365,RAW-01,RAW-04,RAW-44,RAW-10.C01...,,,
,SPG,1263398,RAW-01,RAW-05,RAW-45,RAW-10.C01...,,,
,SPG,1263399,RAW-01,RAW-05,RAW-46,RAW-10.C01...,,,
,SPG,1263400,RAW-01,RAW-05,RAW-47,RAW-10.C01...,,,
,SPG,1250151,RAW-01,RAW-04,RAW-48,RAW-10.C01...,,,
,SPG,1250207,RAW-01,RAW-05,RAW-49,RAW-10.C01...,,,
,SPG,1250178,RAW-01,RAW-05,RAW-50,RAW-10.C01...,,,
,SPG,1250177,RAW-01,RAW-05,RAW-51,RAW-10.C01...,,,
,SPG,1250179,RAW-01,RAW-05,RAW-52,RAW-10.C01...,,,
,SPG,1250205,RAW-01,RAW-05,RAW-53,RAW-10.C01...,,,
