fp_kanban_header_id,org_code,description,item_number,item_description,effective_from,effective_to,subinventory,locator,source_type,supplier,supplier_site,from_org_code,from_subinventory,from_locator,planning_only_cb,auto_request_cb,calculate,card_size,noof_card,moq,lead_time,allocation_per,flm,ssd,rfid_reference
1108,SPG,,55999,solder 17Sn/26In/57Bi 79AC triangle bars,,,EXP-10,EXP-10.06.02.04,SUBINV,,,,EXP-02,,,,CARD_SIZE,1,1,,,,,,AD4808021C57F9775B000025
1109,SPG,,1039078,ceramic NTC 6x3 both sides metalized,,,EXP-10,EXP-10.06.02.03,SUBINV,,,,EXP-02,,,,CARD_SIZE,100,1,,,,,,AD4808021C57C97958000020
1110,SPG,,1076017,"Conn, Contact, Socket, Crimp 22-30 AWG, CuSn Contact, Au Plated, Loose, Molex",,,EXP-10,EXP-10.06.02.02,SUBINV,,,,EXP-02,,,,CARD_SIZE,200,1,,,,,,AD4808021C56EB7859000009
1111,SPG,,1076081,"Conn, Contact, Socket, Crimp, 22-30 AWG, CuZn Contact, Au Plated, Molex KK",,,EXP-10,EXP-10.06.02.02,SUBINV,,,,EXP-02,,,,CARD_SIZE,100,1,,,,,,AD4808021C57B77A5800001E
1112,SPG,,1267531,"Conn, Receptacle Housing, 1 Row, 6 Position, 1.5mm Pitch, Pico-SPOX, Free Hanging",,,EXP-10,EXP-10.06.01.04,SUBINV,,,,EXP-02,,,,CARD_SIZE,10,1,,,,,,AD4808021C585D795A00002F
1113,SPG,,1076095,"Conn, Receptacle, Housing, 1 Row, 2 Position, 0.1"" Pitch, Locking Ramp, Polarized, Free Hanging",,,EXP-10,EXP-10.06.02.02,SUBINV,,,,EXP-02,,,,CARD_SIZE,100,1,,,,,,AD4808021C57B77A5A00001D
1114,SPG,,1076097,"Conn, Receptacle, Housing, 1 Row, 4 Position, 0.1"" Pitch, Locking Ramp, Polarized, Free Hanging",,,EXP-10,EXP-10.06.02.02,SUBINV,,,,EXP-02,,,,CARD_SIZE,100,1,,,,,,AD4808021C56E17A58000008
1115,SPG,,1267534,"Contact, Crimp, Female, 24-30AWG, Pico-SPOX, Sn Plated",,,EXP-10,EXP-10.06.01.04,SUBINV,,,,EXP-02,,,,CARD_SIZE,30,1,,,,,,AD4808021C5865795A000030
1127,SPG,,1137722,"Screw, Cap, Button Head, Hex Socket Drive, M3 x 6mmL, Stainless Steel A2, DIN 7380 A2, cleaned",,,EXP-10,EXP-10.06.02.03,SUBINV,,,,EXP-02,,,,CARD_SIZE,100,1,,,,,,AD4808021C5835765E00002B
1128,SPG,,53961,Solder Bar - 48Sn/52In 117C ,,,EXP-10,EXP-10.06.02.04,SUBINV,,,,EXP-02,,,,CARD_SIZE,1,1,,,,,,AD4808021C5803785B000026
1129,SPG,,1093542,"Solder Wire, 217C, Sn95.5/Ag3.8/Cu0.7, 1mm Dia, 1kg Spool",,,EXP-10,EXP-10.06.02.04,SUBINV,,,,EXP-02,,,,CARD_SIZE,1,1,,,,,,AD4808021C582D785A00002A
1131,SPG,,1268996,"Spacer, PCB, Snap-In, 4.4mmDia x 14.3mmL, Nylon, UL94V-2",,,EXP-10,EXP-10.06.01.04,SUBINV,,,,EXP-02,,,,CARD_SIZE,12,1,,,,,,AD4808021C57DD7759000022
1132,SPG,,1268997,"Spacer, PCB, Snap-In, 4.4mmDia x 6.4mmL, Nylon, UL94V-2",,,EXP-10,EXP-10.06.01.04,SUBINV,,,,EXP-02,,,,CARD_SIZE,12,1,,,,,,AD4808021C57E57959000023
1133,SPG,,1078233,"Thermistor, NTC, 10K, 5%, SMT, 1206, C621",,,EXP-10,EXP-10.06.02.03,SUBINV,,,,EXP-02,,,,CARD_SIZE,4000,1,,,,,,AD4808021C57C1765A00001F
1134,SPG,,1171300,"Thermistor, PTC, Dia = 14mm, two coats of solderable silver",,,EXP-10,EXP-10.06.01.02,SUBINV,,,,EXP-02,,,,CARD_SIZE,1000,1,,,,,,AD4808021C57D37859000021
1135,SPG,,1078036,"Tubing, Heat Shrink, 2:1, 0.046875""Dia, 1.2mm to 0.6mm, Black ",,,EXP-10,EXP-10.06.02.04,SUBINV,,,,EXP-02,,,,CARD_SIZE,1,1,,,,,,AD4808021C58197A5A000028
1136,SPG,,1099945,"Tubing, Heat Shrink, 2:1, 0.125""Dia, 3.2mm to 1.6mm, Black",,,EXP-10,EXP-10.06.02.04,SUBINV,,,,EXP-02,,,,CARD_SIZE,15,1,,,,,,AD4808021C5821775F000029
1137,SPG,,54103,washer 3.2 DIN 125 polyamide,,,EXP-10,EXP-10.06.02.03,SUBINV,,,,EXP-02,,,,CARD_SIZE,300,1,,,,,,AD4808021C583F755D00002C
1138,SPG,,1088267,"Wire, Hook-up, 250V, 200C,Teflon,26AWG,(19x38),White,MIL-W-16878/6 Type ET,ROHS",,,EXP-10,EXP-10.06.01.04,SUBINV,,,,EXP-02,,,,CARD_SIZE,5,1,,,,,,AD4808021C5851775900002E
1139,SPG,,1095708,"Wire, Hook-up, Yellow, AWG 30, 0.06mmA, 7x0.01, 0.61mm outer diameter, VDE 0881",,,EXP-10,EXP-10.06.02.04,SUBINV,,,,EXP-02,,,,CARD_SIZE,25,1,,,,,,AD4808021C5849785800002D
1140,SPG,,53963,"Wire, Tinned Copper, Solid, 29 AWG",,,EXP-10,EXP-10.06.02.04,SUBINV,,,,EXP-02,,,,CARD_SIZE,1,1,,,,,,AD4808021C580D795A000027
1141,SPG,,1163026,"screw DIN 912 M2.5x5 A2, electropolished",,,EXP-05,EXP-05.03.02.01,SUBINV,,,,EXP-02,,,,CARD_SIZE,250,1,,,,,,AD4808021C572D795800000F
1142,SPG,,1218791,"Screw, Cap, Socket Head, Hex Socket Drive, M3 x 20mmL, Steel, Zinc, DIN 912",,,EXP-10,EXP-10.40,SUBINV,,,,EXP-02,,,,CARD_SIZE,200,1,,,,,,AD4808021C56637F590000FA
1143,SPG,,1218780,"Screw, Cap, Socket Head, Hex Socket Drive, M3 x 5mmL, Steel, Zinc, DIN 912",,,EXP-10,EXP-10.40,SUBINV,,,,EXP-02,,,,CARD_SIZE,100,1,,,,,,AD4808021C5757775B000013
1144,SPG,,1218787,"Screw, Cap, Socket Head, Hex Socket Drive, M3 x 6mmL, Steel, Zinc, DIN 912",,,EXP-10,EXP-10.40,SUBINV,,,,EXP-02,,,,CARD_SIZE,300,1,,,,,,AD4808021C5A11785800005B
1145,SPG,,1218788,"Screw, Cap, Socket Head, Hex Socket Drive, M3 x 8mmL, Steel, Zinc, DIN 912",,,EXP-10,EXP-10.40,SUBINV,,,,EXP-02,,,,CARD_SIZE,300,1,,,,,,AD4808021C5A07795700005A
1146,SPG,,55999,solder 17Sn/26In/57Bi 79AC triangle bars,,,EXP-05,EXP-05.03.02.01,SUBINV,,,,EXP-02,,,,CARD_SIZE,1,1,,,,,,AD4808021C586F7A58000031
